,Center Word,Context Words Array,Average Similarity Score,Variance
60,counselor,"['mental', 'sessions', 'clients', 'issues', 'support']",0.3790099322795868,0.004926274869230696
61,wildlife,"['exotic', 'documents', 'efforts', 'images', 'wildlife']",0.3695335492491722,0.11507176575193327
62,volunteer,"['the', 'construction', 'helps', 'volunteers', 'project']",0.4092878431081772,0.07229782651875855
63,sunrise,"['sandy', 'shore', 'sunrise', 'waves', 'beachgoers']",0.4750713765621185,0.06999591004149167
64,apiary,"['bees', 'studies', 'behavior', 'hives', 'the']",0.13468290865421295,0.014501148784449214
65,trainer,"['the', 'circus', 'routine', 'stunts', 'guides']",0.31022676825523376,0.004184600388343895
66,civilization,"['archaeologist', 'discoveries', 'historian', 'artifacts', 'excavates']",0.36565410494804385,0.013011487331896419
67,games,"['analyzes', 'insights', 'the', 'chess', 'strategizes']",0.30224342942237853,0.011508532613223325
68,editor,"['manuscripts', 'novelist', 'the', 'stories', 'revises']",0.3091633588075638,0.006537228669821041
69,structures,"['linguistic', 'linguist', 'evolution', 'the', 'patterns']",0.2910883009433746,0.0042952425039468525
70,remote,"['location', 'fossils', 'fossilized', 'researcher', 'examines']",0.024277941882610322,0.01750387076232137
71,physicist,"['data', 'the', 'physicist', 'experiments', 'conducts']",0.4533562004566193,0.08822219620122183
72,trails,"['trails', 'navigates', 'mountain', 'expedition', 'challenging']",0.5198049128055573,0.06213229868140487
73,bee,"['species', 'harvests', 'behavior', 'beehive', 'studies']",0.3745517522096634,0.05234618769019509
74,guides,"['routine', 'troupe', 'dance', 'choreographer', 'studio']",0.2933500438928604,0.006867207999980388
75,algorithms,"['codes', 'algorithms', 'troubleshoots', 'programmer', 'engineer']",0.4365146428346634,0.08497606017792686
76,studies,"['the', 'studies', 'marine', 'life', 'ecosystems']",0.4510369777679443,0.08956972451267886
77,organizes,"['events', 'archives', 'historian', 'preserves', 'documents']",0.3207679510116577,0.003776933158921949
78,applications,"['prototypes', 'roboticist', 'the', 'engineer', 'robotic']",0.3138143926858902,0.005017155907449187
79,telescope,"['distant', ""universe's"", 'astronomer', 'origins', 'the']",0.2862470746040344,0.030558728924393465
80,shelves,"['organizes', 'novel', 'library', 'books', 'shelves']",0.4914258897304535,0.07650124062321509
81,pieces,"['glazes', 'the', 'shapes', 'potter', 'kiln']",0.3501773029565811,0.010229026674413787
82,guidance,"['competition', 'provides', 'coach', 'the', 'trains']",0.2884578913450241,0.017982375562838514
83,flavors,"['critic', 'savors', 'critiques', 'exotic', 'chef']",0.26089548468589785,0.007701645766501173
84,erecting,"['architect', 'skyscrapers', 'buildings', 'envisions', 'modern']",0.2532730042934418,0.004572783853533977
85,actor,"['audition', ""actor's"", 'provides', 'performance', 'monologue']",0.4025466024875641,0.05771088833776815
86,qa,"['developer', 'reports', 'bugs', 'new', 'software']",0.14213624969124794,0.004286501100451101
87,environmentalist,"['studies', 'ecologist', 'advocates', 'activities', 'practices']",0.3606223285198212,0.02456619176943193
88,knowledge,"['teacher', 'activities', 'knowledge', 'student', 'classroom']",0.46267896294593813,0.07341609092015858
89,investigative,"['report', 'the', 'figures', 'reviews', 'investigative']",0.541388276219368,0.06797276395572446
90,ascent,"['the', 'climbing', 'ascent', 'support', 'peaks']",0.5297853007912636,0.09643478468412273
91,assists,"['assists', 'assistant', 'experiments', 'analysis', 'collection']",0.3999896466732025,0.108225496710052
92,stage,"['stage', 'festival', 'practices', 'music', 'live']",0.43649959564208984,0.09123827341406328
93,organic,"['sustainable', 'methods', 'promotes', 'cultivates', 'vegetables']",0.2820848137140274,0.013399420656081736
94,poetic,"['pens', 'beauty', 'poetic', 'verses', 'nature']",0.5057301998138428,0.07714941375494626
95,sessions,"['provides', 'counselor', 'support', 'conducts', 'psychologist']",0.35831800401210784,0.008812821919143801
96,business,"['innovative', 'analyst', 'evaluates', 'entrepreneur', 'trends']",0.37255803048610686,0.022331213541575537
